Predicted_value,True_value
ncecd,neecd
f2n8n,f2m8n
mgdwb,mgdwb
ddmyg,ddmyg
8n2pg,8n2pg
33p4e,33p4e
nn4wx,nn4wx
85622,85622
33ng4,33ng4
2ycn8,2ycn8
ydd5g,ydd3g
fwcb2,fw3b2
3p67n,3p67n
5xwcg,5xwcg
75w53,25w53
76n7p,76n7p
yeyn4,yeyn4
y5g87,y5g87
488de,488de
eng53,eng53
8db67,8db67
64m82,64m82
x8e8n,x8e8n
png55,pmg55
47n2b,47m2b
m448b,m448b
gbxyy,gbxyy
y5w28,y5w28
bcwnn,bcwnn
25p2m,25p2m
5gcd3,5gcd3
65nmw,65nmw
ndyfe,ndyfe
3x325,3x325
xcf88,xcf88
yw8y5,yw8y5
gn7n8,gm7n8
7f8b3,7f8b3
4n2w5,4m2w5
n7g4f,n7g4f
bf52c,bf52c
g842c,g842c
wnnec,wnpec
2p2y8,2p2y8
5ep3n,5ep3n
c4527,c4527
ffnxn,ffnxn
w72fn,w52fn
wfy5m,wfy5m
dw8c3,dw8d3
2mpmn,2mpnn
mwg2m,nwg2m
yx2d4,yx2d4
npxb7,npxb7
g2577,g2577
68x48,68x48
bn5nw,bn5mw
5n722,5n732
6fgdw,6fgdw
gd4nf,gd4mf
mfc75,mfc35
nf2n8,nf2n8
3xng6,3xng6
4f8yp,4f8yp
ncww7,ncww7
p8c24,p8c24
cnnnn,cnmnn
cgcgb,cgcgb
5g5e5,5g5e5
wdddp,wddcp
dcnp8,dcnp8
mffbx,mfb3x
nxxf8,nxxf8
25557,25257
n464c,n464c
3x5fm,3x5fm
c3522,c3572
8n34n,8n34n
74eyg,74eyg
b3xpn,b3xpn
4ynf3,4ynf3
f85y3,f85y3
5fyem,5fyem
pgmm2,pgmn2
7wn74,7wn74
enpw2,enpw2
c753e,c753e
7cgym,7cgym
x455w,x458w
d7c5x,d7c5x
ncfgb,ncfgb
6f2yc,6f2yc
6e2dg,6e2dg
6cm6m,6cm6m
4w6nw,4w6mw
4dw3w,4dw3w
nybcx,nybcx
deep5,deep5
f6ne5,f6ne5
xcmbp,xcmbp
ybfx6,ybfx6
7d44m,7d44m
8684m,8684m
55c2n,55y2m
n6cc5,n6xc5
gnbde,gnbde
xbcbx,xbcbx
474ff,474ff
pnnxf,pnmxf
6gmn3,6gnm3
ny8np,ny8np
4gb3f,4gb3f
226nd,226md
7fdc7,7fde7
p2n6n,p2m6n
8n875,8w875
n7ebx,n7ebx
y32yy,y32yy
e6n6p,e6m6p
ef4np,ef4np
7yf62,7yf62
gc277,gc277
yge7c,yge7c
5nn6d,5nm6d
myf82,myf82
8g4yp,8g4yp
f74x3,f74x3
7c2y7,7e2y7
7y2x4,7y2x4
y2yc8,y2ye8
cen55,cen55
8n5pn,8n5pn
6mn8n,6mn8n
mn554,mn5c4
m23bp,m23bp
nf8b8,nf8b8
wmw7f,wm47f
ycmcw,ycmcw
c2g4d,c2g4d
nf7bn,nf7bn
wg625,wg625
g8gnd,g8gnd
c3n8x,c3n8x
7gnge,7gnge
3den6,3den6
nny5e,nny5e
566wd,556wd
b4d7c,b4d7c
gegw4,gegw4
gn2xy,gn2xy
dpbyd,dpbyd
ddxpp,ddxpp
y4ec2,y4ec2
73mnx,73mnx
6p7gx,6p7gx
cx3wg,cx3wg
mb44n,mb4en
pyefb,pyefb
5ng6e,5ng6e
6b4w6,6b4w6
nn46n,nm46n
yew5p,yew6p
4yc85,4yc85
63824,63824
3n7nx,3n7mx
pne86,pme86
56m6y,56m6y
c4bgd,c4bgd
y7mnm,y7mnm
wccn8,wxcn8
dyxnc,dyxnc
n75bf,m75bf
ynp7g,ymp7g
428b6,428b6
dn5df,dn5df
7gp47,7gp47
467d5,467d5
fg8n4,fg8n4
n3ffn,n3ffn
nbwnn,nbwnn
6nwyb,6mygb
5mnpd,5mnpd
cffp4,cffp4
g3dy6,g3dy6
n4b4m,n4b4m
cg5dd,cg5dd
44ype,44ype
cwcmy,cwmny
w4n84,wf684
nbfx5,nbfx5
52447,52447
dn26n,dn26n
6ng5n,6ng6n
3bd8f,3bd8f
g7gnf,g7gnf
d6fcn,d6fcn
ddcdd,ddcdd
b4ncn,b4ncn
5wddw,5wddw
e46pd,e46pd
7dyww,7dyww
neggn,neggn
be3bp,be3bp
5p3nm,5p3mm
x6b5m,x6b5m
mwcb6,mwdf6
n3m6x,n3m6x
832f3,832f3
25n6p,25m6p
6xpme,6xpme
bw44w,bw44w
w8f36,w8f36
38n57,38n57
mwnfm,mmfm6
